"Timestamp","¿Qué edad tienes?","Lista de actividades: [YOGA]","Lista de actividades: [NATACIÓN ]","Lista de actividades: [BAILE ]","Lista de actividades: [GOLF ]","Lista de actividades: [GIMNASIO ]","Lista de actividades: [TIRO CON ARCO ]","Lista de actividades: [ZUMBA ]","Lista de actividades: [TENIS]","Lista de actividades: [CLUB DE LECTURA]","Lista de actividades: [CLUB DE ESCRITURA]","Lista de actividades: [PINTURA]","Lista de actividades: [MÚSICA ]","Lista de actividades: [MACRAMÉ]","Lista de actividades: [INFORMÁTICA]","Lista de actividades: [JARDINERÍA]","Lista de actividades: [MANUALIDADES]","Lista de actividades: [IDIOMAS]","Lista de actividades: [COCINA]","Lista de actividades: [COCTELERÍA]","Lista de actividades: [CERVECERÍA ARTESANAL]","Lista de actividades: [CATAS DE COMIDA Y BEBIDA]","Lista de actividades: [BINGO]","Lista de actividades: [PARCHIS]","Lista de actividades: [AJEDREZ]","Lista de actividades: [TEATRO]"
"2022/03/11 7:27:28 pm CET","Más de 55 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/03/11 7:32:28 pm CET","Más de 55 años","1 No me gusta","3","1 No me gusta","3","1 No me gusta","3","1 No me gusta","3","2","2","2","3","1 No me gusta","3","3","3","2","3","3","3","3","1 No me gusta","1 No me gusta","2","3"
"2022/03/11 7:50:52 pm CET","Más de 55 años","1 No me gusta","3","3","","2","","3","3","","","1 No me gusta","2","1 No me gusta","","3","2","2","2","","","1 No me gusta","1 No me gusta","1 No me gusta","","1 No me gusta"
"2022/03/11 7:55:37 pm CET","Más de 55 años","3","5 Me encanta","4","1 No me gusta","1 No me gusta","","","4","","","","","","","3","","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","",""
"2022/03/11 8:35:38 pm CET","Más de 55 años","1 No me gusta","2","1 No me gusta","1 No me gusta","4","1 No me gusta","1 No me gusta","5 Me encanta","5 Me encanta","3","1 No me gusta","4","4","5 Me encanta","4","5 Me encanta","3","3","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","2","3"
"2022/03/11 8:59:22 pm CET","Más de 55 años","1 No me gusta","","","","2","","","","","","","","","2","","","3","3","","","","","","",""
"2022/03/11 9:08:50 pm CET","Más de 55 años","1 No me gusta","4","2","1 No me gusta","4","1 No me gusta","1 No me gusta","2","4","3","2","2","1 No me gusta","3","3","3","4","4","1 No me gusta","2","1 No me gusta","1 No me gusta","2","2","4"
"2022/03/11 9:12:25 pm CET","Más de 55 años","2","3","1 No me gusta","3","2","1 No me gusta","1 No me gusta","3","3","3","1 No me gusta","5 Me encanta","1 No me gusta","4","3","2","3","2","1 No me gusta","1 No me gusta","2","1 No me gusta","3","2","3"
"2022/03/11 9:16:38 pm CET","Más de 55 años","4","3","5 Me encanta","1 No me gusta","2","","5 Me encanta","","2","3","2","5 Me encanta","2","2","5 Me encanta","5 Me encanta","5 Me encanta","5 Me encanta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","","4"
"2022/03/11 9:24:09 pm CET","Más de 55 años","2","","2","","","","","","2","","","2","2","2","","2","","","","","","2","2","","2"
"2022/03/11 9:25:56 pm CET","Más de 55 años","","3","","","","","","2","","","","5 Me encanta","","4","5 Me encanta","","5 Me encanta","3","","","","","","3","4"
"2022/03/11 9:28:00 pm CET","Más de 55 años","","","","","","","","","","","","4","","4","5 Me encanta","","","","","","","","","4",""
"2022/03/11 9:28:49 pm CET","Más de 55 años","2","1 No me gusta","3","","1 No me gusta","","1 No me gusta","","2","","3","3","3","1 No me gusta","3","3","2","2","","","","","","",""
"2022/03/11 9:29:54 pm CET","Más de 55 años","","5 Me encanta","5 Me encanta","1 No me gusta","1 No me gusta","","2","2","3","","3","5 Me encanta","","5 Me encanta","","3","5 Me encanta","4","","4","4","1 No me gusta","1 No me gusta","2","2"
"2022/03/11 9:35:34 pm CET","Más de 55 años","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","5 Me encanta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","3","1 No me gusta","1 No me gusta","5 Me encanta","2","1 No me gusta","5 Me encanta","1 No me gusta","1 No me gusta","1 No me gusta","2"
"2022/03/11 9:42:44 pm CET","Más de 55 años","","","","1 No me gusta","","1 No me gusta","1 No me gusta","","2","","3","2","","","3","3","","2","","","","1 No me gusta","","","2"
"2022/03/11 9:43:35 pm CET","Más de 55 años","4","5 Me encanta","","","2","","","3","4","4","3","4","","3","2","2","3","3","","","","","","3","3"
"2022/03/11 9:45:38 pm CET","Más de 55 años","3","3","3","","3","","","3","3","3","","3","","3","3","3","2","2","1 No me gusta","","2","1 No me gusta","3","3","3"
"2022/03/11 9:46:04 pm CET","Más de 55 años","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta"
"2022/03/11 9:47:34 pm CET","Más de 55 años","","4","5 Me encanta","","4","","","","","","4","5 Me encanta","","","","5 Me encanta","","4","4","4","5 Me encanta","2","5 Me encanta","","5 Me encanta"
"2022/03/11 9:48:35 pm CET","Más de 55 años","","4","3","","","3","","","4","4","","4","","","","","","","","","","","","3",""
"2022/03/11 9:52:25 pm CET","Más de 55 años","3","3","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","4","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","3","2","2","4","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta"
"2022/03/11 9:55:00 pm CET","Más de 55 años","3","4","5 Me encanta","1 No me gusta","2","3","2","4","5 Me encanta","5 Me encanta","4","5 Me encanta","1 No me gusta","3","2","1 No me gusta","5 Me encanta","3","1 No me gusta","1 No me gusta","2","2","4","5 Me encanta","5 Me encanta"
"2022/03/11 9:55:00 pm CET","Más de 55 años","3","5 Me encanta","3","1 No me gusta","5 Me encanta","3","3","2","5 Me encanta","4","3","2","1 No me gusta","4","3","3","4","4","1 No me gusta","3","2","3","3","2","4"
"2022/03/11 9:55:31 pm CET","Más de 55 años","2","2","2","2","4","2","4","3","3","3","2","3","3","3","3","2","3","5 Me encanta","2","2","2","3","3","1 No me gusta","5 Me encanta"
"2022/03/11 10:05:45 pm CET","Más de 55 años","5 Me encanta","5 Me encanta","5 Me encanta","2","5 Me encanta","3","5 Me encanta","3","3","2","4","4","4","3","3","5 Me encanta","5 Me encanta","4","1 No me gusta","","","","1 No me gusta","1 No me gusta","2"
"2022/03/11 10:10:42 pm CET","Más de 55 años","","2","5 Me encanta","2","4","","5 Me encanta","","4","3","4","3","5 Me encanta","3","5 Me encanta","5 Me encanta","3","4","4","4","","","4","2","5 Me encanta"
"2022/03/11 10:11:59 pm CET","Más de 55 años","3","","","","","","","3","","","","3","3","3","3","3","","3","","","","","3","",""
